,Track URI,Track Name,Artist Name,Album Name,Artist URI,Album URI,Louvain Community,Walktrap Community,Infomap Community,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,popularity,duration_ms,arist_URI,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_popularity,genres
0,spotify:track:00qOE7OjRl0BpYiCiweZB2,Juke Box Hero,Foreigner,4 [Expanded],spotify:artist:6IRouO5mvvfcyxtPDKMYFN,spotify:album:2Pw51hAGvWpTA3AYl2WVuu,0,8,8,0.03544776119402985,0.0,0.22964867180805484,4.084216235227727e-06,69,259800,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,0.0828,0.357,0.653,0.0,9,0.0844,-5.554,1,0.0654,176.647,4,0.522,69,"['glam metal', 'Mellow', 'Rock']"
1,spotify:track:0J6mQxEZnlRt9ymzFntA6z,Livin' On A Prayer,Bon Jovi,Slippery When Wet,spotify:artist:58lV9VcRSjABbAbfWS6skp,spotify:album:5uU2uM1RGHfzlA12opjqol,0,8,8,0.08022388059701492,0.02647923845066613,0.29321663019693656,6.125918769745558e-05,0,249293,spotify:artist:58lV9VcRSjABbAbfWS6skp,0.0768,0.534,0.887,9.93e-05,0,0.325,-3.777,1,0.0345,122.494,4,0.72,78,"['glam metal', 'Rock']"
2,spotify:track:1gcESexgftSuLuML57Y69q,All Right Now,Free,Fire And Water,spotify:artist:2e53aHBQdCMKWqHDuyJsjC,spotify:album:1ydlm89JR8cV8VuSaNvHNL,0,8,8,0.03544776119402985,0.0,0.22964867180805484,4.084216235227727e-06,69,330643,spotify:artist:2e53aHBQdCMKWqHDuyJsjC,0.221,0.787,0.472,0.000336,2,0.153,-12.824,1,0.0832,120.059,4,0.824,55,['Rock']
3,spotify:track:2b9lp5A6CqSzwOrBfAFhof,Crazy Train - Remastered,Ozzy Osbourne,Blizzard of Ozz (Expanded Edition),spotify:artist:6ZLTlhejhndI4Rh53vYhrY,spotify:album:6aGfK3YpRxZ1rJfaNRckLH,0,8,8,0.03544776119402985,0.0,0.22964867180805484,4.084216235227727e-06,0,296200,spotify:artist:6ZLTlhejhndI4Rh53vYhrY,0.36,0.453,0.905,0.000569,9,0.26,-4.001,1,0.115,137.571,4,0.474,72,"['alternative metal', 'glam metal', 'Rock']"
4,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC,Highway to Hell,spotify:artist:711MCceyCBcFnzjGY4Q7Un,spotify:album:10v912xgTZbjAtYfyKWJCS,0,8,8,0.03544776119402985,0.0,0.22964867180805484,4.084216235227727e-06,86,208400,spotify:artist:711MCceyCBcFnzjGY4Q7Un,0.061,0.574,0.913,0.00158,6,0.156,-4.793,0,0.133,115.728,4,0.423,82,['Rock']
5,spotify:track:3MODES4TNtygekLl146Dxd,Ramble On,Led Zeppelin,Led Zeppelin II,spotify:artist:36QJpDe2go2KgaRleHCDTp,spotify:album:70lQYZtypdCALtFVlQAcvx,0,8,8,0.03544776119402985,0.0,0.22964867180805484,4.084216235227727e-06,69,263333,spotify:artist:36QJpDe2go2KgaRleHCDTp,0.072,0.468,0.607,0.000852,9,0.225,-11.367,1,0.0336,98.429,4,0.886,76,['Rock']
6,spotify:track:3QZ7uX97s82HFYSmQUAN1D,Tom Sawyer,Rush,Moving Pictures,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,spotify:album:2xg7iIKoSqaDNpDbJnyCjY,0,8,8,0.03544776119402985,0.0,0.22964867180805484,4.084216235227727e-06,71,276880,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,0.00145,0.536,0.901,0.0186,9,0.06,-7.211,1,0.0374,87.559,4,0.666,65,['Rock']
7,spotify:track:3YBZIN3rekqsKxbJc9FZko,Paradise City,Guns N' Roses,Appetite For Destruction,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,spotify:album:3I9Z1nDCL4E0cP62flcbI5,0,8,8,0.08022388059701492,0.02647923845066613,0.29321663019693656,6.125918769745558e-05,6,405640,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,0.0169,0.273,0.952,0.0111,11,0.142,-8.762,1,0.0843,100.271,4,0.472,79,"['glam metal', 'Rock']"
8,spotify:track:3bN4tg6rnNPy9GCkGhym4T,Message In A Bottle - Remastered 2003,The Police,Reggatta De Blanc,spotify:artist:5NGO30tJxFlKixkPSgXcFE,spotify:album:4dB2uBf7IEazBMreDVZmB2,0,8,8,0.03544776119402985,0.0,0.22964867180805484,4.084216235227727e-06,0,290280,spotify:artist:5NGO30tJxFlKixkPSgXcFE,0.0338,0.577,0.808,1.33e-05,1,0.221,-7.04,0,0.039,151.008,4,0.869,76,"['permanent wave', 'Rock']"
9,spotify:track:40riOy7x9W7GXjyGp4pjAv,Hotel California - Remastered,Eagles,Hotel California (Remastered),spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,spotify:album:2widuo17g5CEC66IbzveRu,0,8,8,0.03544776119402985,0.0,0.22964867180805484,4.084216235227727e-06,84,391376,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,0.00574,0.579,0.508,0.000494,2,0.0575,-9.484,1,0.027,147.125,4,0.609,75,"['Mellow', 'Rock']"
